Class,Text,Category,Color,Icon
1,Explosives,Explosives,orange,explosive
1.1,Mass Explosion Hazard,Explosives,orange,explosive
1.2,Blast/Projection Hazard,Explosives,orange,explosive
1.3,Minor Blast Hazard,Explosives,orange,explosive
1.4,Major Fire Hazard,Explosives,orange,
1.5,Blasting Agents,Explosives,orange,
1.6,Extremely Insensitive Explosives,Explosives,orange,
2,Gases,Gases,,
2.1,Flammable Gas,Gases,red,flammable
2.2,Non-Flammable Gas,Gases,green,nonflammable-gas
2.3,Poisonous Gas,Gases,white,poisonous
3,Flammable Liquids,Flammable Liquids,red,flammable
4,Flammable Solids,Flammable Solids,,flammable
4.1,Flammable Solids,Flammable Solids,red-white-stripes,flammable
4.2,Spontaneously Combustible,Flammable Solids,white-red,flammable
4.3,Dangerous when Wet,Flammable Solids,blue,flammable
5,Oxidizing Agents and Organic Peroxides,Oxidizing Agents and Organic Peroxides,,
5.1,Oxidizing Agent,Oxidizing Agents and Organic Peroxides,yellow,oxidizing
5.2,Organic Peroxide Oxidizing Agent,Oxidizing Agents and Organic Peroxides,red-yellow,flammable
6,Toxic and Infectious Substances,Toxic and Infectious Substances,,
6.1,Poison,Toxic and Infectious Substances,white,poisonous
6.2,Biohazard,Toxic and Infectious Substances,white,biohazard
7,Radioactive,Radioactive Substances,yellow-white,radioactive
8,Corrosive,Corrosive Substances,white-black,corrosive
9,Miscellaneous,Miscellaneous,black-white-stripes-white,
