Number,Class,Proper Shipping Name,Health,Fire,Reactivity,Special
0004,1.1D,"Ammonium picrate, dry or wetted with less than 10 percent water, by mass",,,,
0005,1.1F,"Cartridges for weapons, with bursting charge",,,,
0006,1.1E,"Cartridges for weapons, with bursting charge",,,,
0007,1.2F,"Cartridges for weapons, with bursting charge",,,,
0009,1.2G,"Ammunition, incendiary with or without burster, expelling charge, or propelling charge",,,,
0010,1.3G,"Ammunition, incendiary with or without burster, expelling charge, or propelling charge",,,,
0012,1.4S,"Cartridges for weapons, inert projectile or Cartridges, small arms",,,,
0014,1.4S,"Cartridges for weapons, blank or Cartridges, small arms, blank",,,,
0015,1.2G,"Ammunition, smoke with or without burster, expelling charge, or propelling charge",,,,
0016,1.3G,"Ammunition, smoke with or without burster, expelling charge, or propelling charge",,,,
0018,1.2G,"Ammunition, tear-producing with burster, expelling charge, or propelling charge",,,,
0019,1.3G,"Ammunition, tear-producing with burster, expelling charge, or propelling charge",,,,
0020,1.2K,"Ammunition, toxic with burster, expelling charge, or propelling charge",,,,
0021,1.3K,"Ammunition, toxic with burster, expelling charge, or propelling charge",,,,
0027,1.1D,"Black powder or Gunpowder, granular or as a meal",,,,
0028,1.1D,"Black powder, compressed or Gunpowder, compressed or Black powder, in pellets or Gunpowder, in pellets",,,,
0029,1.1B,"Detonators, non-electric, for blasting",,,,
0030,1.1B,"Detonators, electric, for blasting",,,,
0033,1.1F,"Bombs, with bursting charge",,,,
0034,1.1D,"Bombs, with bursting charge",,,,
0035,1.2D,"Bombs, with bursting charge",,,,
0037,1.1F,"Bombs, photo-flash",,,,
0038,1.1D,"Bombs, photo-flash",,,,
0039,1.2G,"Bombs, photo-flash",,,,
0042,1.1D,"Boosters, without detonator",,,,
0043,1.1D,"Bursters, explosive",,,,
0044,1.4S,"Primers, cap type",,,,
0048,1.1D,"Charges, demolition",,,,
0049,1.1G,"Cartridges, flash",,,,
0050,1.3G,"Cartridges, flash",,,,
0054,1.3G,"Cartridges, signal",,,,
0055,1.4S,"Cases, cartridge, empty with primer",,,,
0056,1.1D,"Charges, depth",,,,
0059,1.1D,"Charges, shaped, without detonator",,,,
0060,1.1D,"Charges, supplementary explosive",,,,
0065,1.1D,"Cord, detonating, flexible",,,,
0066,1.4G,"Cord, igniter",,,,
0070,1.4S,"Cutters, cable, explosive",,,,
0072,1.1D,"Cyclotrimethylenetrinitramine, wetted or Cyclonite, wetted or Hexogen, wetted or RDX, wetted with not less than 15 percent water by mass",,,,
0073,1.1B,Detonators for ammunition,,,,
0074,1.1A,"Diazodinitrophenol, wetted with not less than 40 percent water or mixture of alcohol and water, by mass",,,,
0075,1.1D,"Diethylene glycol dinitrate, desensitized with not less than 25 percent non-volatile water-insoluble phlegmatizer, by mass",,,,
0076,1.1D,"Dinitrophenol, dry or wetted with less than 15 percent water, by mass",,,,
0077,1.3C,"Dinitrophenolates alkali metals, dry or wetted with less than 15 percent water, by mass",,,,
0078,1.1D,"Dinitroresorcinol, dry or wetted with less than 15 percent water, by mass",,,,
0079,1.1D,Hexanitrodiphenylamine or Dipicrylamine or Hexyl,,,,
0081,1.1D,"Explosive, blasting, type A",,,,
0082,1.1D,"Explosive, blasting, type B",,,,
0083,1.1D,"Explosive, blasting, type C",,,,
0084,1.1D,"Explosive, blasting, type D",,,,
0092,1.3D,"Flares, surface",,,,
0093,1.3G,"Flares, aerial",,,,
0094,1.1G,Flash powder,,,,
0099,1.1D,"Fracturing devices, explosives, without detonators for oil wells",,,,
0101,1.3G,"Fuse, non-detonating instantaneous or quickmatch",,,,
0102,1.2D,Cord detonating or Fuse detonating metal clad,,,,
0103,1.4G,"Fuse, igniter tubular metal clad",,,,
0104,1.4D,"Cord, detonating, mild effect or Fuse, detonating, mild effect metal clad",,,,
0105,1.4S,"Fuse, safety",,,,
